"","point","mean","low","high","time"
"1","model predict (95% CI)",1.31311104042171,0.954464107381009,1.75889126305778,1993
"2","model predict (95% CI)",1.34552508404394,0.94708240930452,1.8168503389685,1994
"3","model predict (95% CI)",1.53679457931783,1.09254742137291,2.06403346756406,1995
"4","model predict (95% CI)",0.758704588746813,0.53177448323615,1.02380631308378,1996
"5","model predict (95% CI)",1.58073569679409,1.1119302191615,2.11870559808866,1997
"6","model predict (95% CI)",1.60560299805498,1.14902925446031,2.18499679815844,1998
"7","model predict (95% CI)",1.76809688150432,1.26024392016185,2.37274967425655,1999
"8","model predict (95% CI)",1.59950572267181,1.14319339126956,2.14962781435141,2000
"9","model predict (95% CI)",1.51824256482329,1.05807522774519,2.01423889394559,2001
"10","model predict (95% CI)",1.7295683022561,1.25279495700026,2.29662330551251,2002
"11","model predict (95% CI)",1.67852490211158,1.20029447510795,2.20263227342772,2003
"12","model predict (95% CI)",1.59868209218423,1.13601003188394,2.10284092088926,2004
"13","model predict (95% CI)",1.59904457327699,1.12448439564908,2.14100184478257,2005
"14","model predict (95% CI)",1.8800564173232,1.34304161334328,2.55787970743403,2006
