"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.934313861467907,0.0819110852641136,11.4064397810786,8.4926745209716e-08
"mean.living.total",-0.000560153853793451,0.000146024347321639,-3.83603052550979,0.00236947880997184
