"","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006"
"0.5",0.133783490542633,0.152461315706749,0.161984841855439,0.197388110675918,0.193261471643229,0.1443144913194,0.0938318467316381,0.0840291512058642,0.109756966598319,0.110711971759385,0.0770649760329698,0.196882905581469,0.0882484312678279,0.0923356584638666
"1.5",0.0416408978763129,0.0284429698107703,0.0368359243966103,0.0622853138545282,0.0699557352234061,0.170457629361659,0.124986829255415,0.0882154228404458,0.109942814995813,0.0819534636847108,0.0774250786411173,0.0970009182886104,0.205000368521184,0.146617125000471
"2.5",0.133825674588357,0.145472077543408,0.0369879888115137,0.174546804157031,0.106495555174954,0.072209955427197,0.125079440901782,0.126538270295007,0.111465686481727,0.15333891239913,0.127487634269338,0.153001847316427,0.104512168884069,0.223962156515081
"3.5",0.137616603884775,0.170515266670802,0.164186638152745,0.0935268208729733,0.231517843760975,0.127475773117851,0.148898125352558,0.184940169473496,0.111481996700152,0.135236518581943,0.15431728596623,0.160919183630263,0.205809979581903,0.0792872880458381
"4.5",0.137555927456272,0.176609420462287,0.114640297419418,0.116369149417063,0.147085072183894,0.192295627048804,0.133530118685448,0.149823264245983,0.217100060121818,0.114963195102227,0.206434527506114,0.146067879381004,0.270450970341621,0.195900787351299
"5.5",0.177516541483305,0.25020442578476,0.214504869051648,0.105479814476211,0.15831306423831,0.218969746655099,0.196332474500709,0.143468936062526,0.186748093543179,0.263464383337626,0.126184364726244,0.181759762723913,0.136923957598653,0.20349375572532
"6.5",0.249487007292549,0.270401429162042,0.255159926493646,0.202968856245541,0.279196839707875,0.25699717844237,0.248012614640799,0.247506084488449,0.216777449832083,0.236474311063796,0.236490272843829,0.200298289063398,0.155352112939257,0.239831261371947
"7.5",0.248074389882687,0.255543927668584,0.253248634180041,0.167253023481387,0.250476381129936,0.257011833828835,0.244534921725947,0.248949259292322,0.22658155700724,0.234470928370462,0.240229552706983,0.214152169154155,0.173076545352164,0.24048405390505
"M1",0.238780872470694,0.0965246603059473,0.215224912817693,0.221979778612988,0.206955845154515,0.149059440882039,0.237503928084108,0.137776870555079,0.250609079278606,0.0939928281476587,0.102637758898682,0.179201647602595,0.0863538430954509,0.0770409559176092
"M2",0.197095126104711,0.208605540871228,0.189699695470882,0.187032058112017,0.226510051952207,0.296893167829584,0.147719611140788,0.263138414057318,0.21069379220461,0.17999384932302,0.160055277226313,0.204969751723748,0.239709486267597,0.208393607248714
"M3",0.137879200640769,0.112685355368527,0.101738244129433,0.166633826291059,0.249198369804386,0.28792683844686,0.220465417204037,0.280385131728778,0.241628226819514,0.189796651745254,0.204541576535838,0.241840445153538,0.230252262005253,0.227919672532532
