"","Estimate","Std..Error","t.value","Pr...t..","adjRsqr"
"init",-8.10319207980373e-05,8.61616051098489e-05,-0.940464383117379,0.365526177917815,-0.00896635367182208
"X",0.000263819394087726,0.000171629177880708,1.53714768867037,0.150196391151837,0.0948854563752562
"X.1",-9.31157450998317e-06,6.38612081200262e-05,-0.145809557697095,0.886492395798546,-0.0814173837109857
"X.2",-0.000168599322539297,0.000103576009161702,-1.62778353697795,0.129524349013298,0.112608557215739
"X.3",5.59584758470939e-05,8.32487686975502e-05,0.672183825930155,0.514201013587823,-0.0440231561076143
"X.4",-0.00044266148165332,0.000136492753808012,-3.24311342033554,0.0070458370192917,0.422678553955081
"X.5",-0.000211861329316343,4.15729697273267e-05,-5.09613171024158,0.000263490705107122,0.657629475440725
"X.6",-9.33013618636611e-05,4.38127404133209e-05,-2.12954864232354,0.0545987601145124,0.21378785892635
"X.7",-0.000652512669696379,0.000136232625970473,-4.78969457608345,0.000441209760806413,0.627946103046562
"X.8",7.7288510750963e-05,8.88691134205876e-05,0.869689229205905,0.401531745492729,-0.0190995438287147
"X.9",0.000155867194779473,8.16589544257114e-05,1.90875814998674,0.0804943931518151,0.168976362366336
