age,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
1.5,1.25,1.182,1.353,1.75,1.773,1.923,1.545,1.733,2,1.875,1.733,1.75,1.733,1.647
2.5,1.767,1.882,1.623,1.865,1.892,2,1.833,2,1.75,1.941,1.947,2,1.8,2.091
3.5,1.767,1.882,1.623,1.865,1.892,2,1.833,2,1.75,1.941,1.947,2,1.8,2.091
4.5,1.767,1.882,1.623,1.865,1.892,2,1.833,2,1.75,1.941,1.947,2,1.8,2.091
5.5,1.767,1.882,1.623,1.865,1.892,2,1.833,2,1.75,1.941,1.947,2,1.8,2.091
6.5,1.767,1.882,1.623,1.865,1.892,2,1.833,2,1.75,1.941,1.947,2,1.8,2.091
7.5,1.767,1.882,1.623,1.865,1.892,2,1.833,2,1.75,1.941,1.947,2,1.8,2.091
