Age,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
0.5,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000
1.5,0.014,0.037,0.039,0.026,0.033,0.139,0.125,0.004,0.091,0.050,0.107,0.043,0.205,0.013,0.005,0.000
2.5,0.032,0.050,0.032,0.036,0.036,0.084,0.070,0.015,0.147,0.134,0.024,0.017,0.296,0.012,0.189,0.000
3.5,0.032,0.050,0.032,0.036,0.036,0.084,0.070,0.015,0.147,0.134,0.024,0.017,0.296,0.012,0.189,0.000
4.5,0.032,0.050,0.032,0.036,0.036,0.084,0.070,0.015,0.147,0.134,0.024,0.017,0.296,0.012,0.189,0.000
5.5,0.032,0.050,0.032,0.036,0.036,0.084,0.070,0.015,0.147,0.134,0.024,0.017,0.296,0.012,0.189,0.000
6.5,0.032,0.050,0.032,0.036,0.036,0.084,0.070,0.015,0.147,0.134,0.024,0.017,0.296,0.012,0.189,0.000
7.5,0.032,0.050,0.032,0.036,0.036,0.084,0.070,0.015,0.147,0.134,0.024,0.017,0.296,0.012,0.189,0.000
