,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Total Harvest,252,576,181,820,280,250,107,115,100,69,153,190,110,194,180
Aerial,577,584,223,227,253,161,81,167,112,126,194,228,119,157,180
