,Estimate,Std..Error,t.value,Pr...t..,adjRsqr
fawn(age1),-1.59E-05,6.08E-06,-2.613308715,0.022662911,0.309589678
YA(age2),-0.001054606,0.000176364,-5.979710362,6.41E-05,0.727788232
