"","Estimate","Std..Error","t.value","Pr...t..","adjRsqr"
"init",-6.26924190088819e-05,1.33803956912626e-05,-4.68539350071838,0.00052735999877203,0.617116790990944
"X",-0.000959823322495002,0.000131395095754039,-7.30486413504896,9.41416702234262e-06,0.801104756079005
"X.1",-0.000625221996396568,9.32877481071243e-05,-6.70208048841111,2.18951830777622e-05,0.771600780918459
"X.2",-0.000506168081360147,8.83171102291729e-05,-5.73125728464958,9.43714668976895e-05,0.710127542058112
"X.3",-0.000393785289831303,8.6578013741176e-05,-4.54832899041227,0.000668111269620477,0.602291980365192
"X.4",-0.000349039612718418,8.12407321858407e-05,-4.29636222283151,0.00103854389118076,0.573192949793764
"X.5",-0.000281851978781818,8.01711718705903e-05,-3.51562752801935,0.00425756310592213,0.466330305129247
"X.6",-0.000245038307422861,9.13398184552964e-05,-2.68271069033039,0.0199367690704323,0.322808621064778
