"","point","mean","low","high","time"
"1","model predict",54.2535961116473,10.2230869917208,128.417676986135,1
"2","model predict",61.4711307094774,10.8944937383557,166.688313995842,2
"3","model predict",48.8458006004073,17.7115786792945,92.673650578389,3
"4","model predict",39.2495414609467,13.5526277054823,78.7816104163994,4
"5","model predict",32.7709511407349,11.8959227279993,63.1936472982967,5
"6","model predict",26.8204367306593,10.0124859370037,51.1980333146841,6
"7","model predict",22.3725800166096,8.43948643287878,43.1328517310119,7
"8","model predict",18.546691991567,6.93907331626327,36.2756954296303,8
"9","model predict",15.4343722862024,5.70855760773276,30.9817623336259,9
"10","model predict",12.9024538472779,4.62525561447073,26.6906463588223,10
"11","model predict",10.8038261750794,3.70200063523722,23.0627531045238,11
"12","model predict",9.06213430817228,2.92847169995514,19.9278511637002,12
"13","model predict",7.63225281159651,2.32065509268045,17.3286857051129,13
"14","model predict",6.43784223119771,1.82574640732539,15.1354793051811,14
"X1993","data",106,106,106,1
"X1994","data",23,23,23,2
"X1995","data",120,120,120,3
"X1996","data",27,27,27,4
"X1997","data",19,19,19,5
"X1998","data",4,4,4,6
"X1999","data",10,10,10,7
"X2000","data",12,12,12,8
"X2001","data",9,9,9,9
"X2002","data",16,16,16,10
"X2003","data",20,20,20,11
"X2004","data",8,8,8,12
"X2005","data",8,8,8,13
"X2006","data",3,3,3,14
