"","age","mean_Harv","BI_low","BI_high"
"var1",1,0.434566996208654,0.244735420404074,0.610370983801716
"var2",2,0.467760877631375,0.267643954541027,0.65699720563287
"var3",3,0.558467337413703,0.34899619924243,0.757993798563851
"var4",4,0.581351558739418,0.364232698544841,0.776956442711024
"var5",5,0.684297062425441,0.449094515734073,0.865906860527847
"var6",6,0.749072168698242,0.507521839737349,0.912081193417409
"var7",7,0.781659418880161,0.572004372704305,0.919177110899054
"var8",8,0.767268312125763,0.530261458047579,0.975307395293695
