"","age","mean_ferc","BI_low","BI_high"
"var1",1,0.162436743465676,0.122985767392984,0.219970472504137
"var2",2,1.31374311066075,0.935521424392601,1.67828998437383
"var3",3,1.81079300087735,1.29843686975821,2.97203170157589
"var4",4,1.71522504521548,1.28344479247165,2.44950366534197
"var5",5,1.59520379914763,1.10224039985926,2.03181032347261
"var6",6,1.65666424316796,1.16926188810623,2.23766569599472
"var7",7,1.64941328979463,1.19321114289201,2.18938656935219
"var8",8,1.7316077324103,1.24293014175191,2.64288472011688
