,Estimate,Std..Error,t.value,Pr...t..,adjRsqr
Fawn,-0.000122235991434,2.35231345013985E-05,-5.19641595496007,0.00022321387739,0.666690073373047
Yearling,-0.001282182187426,0.000184063990415,-6.96595887404111,1.50450187819266E-05,0.785211242305983
Adults,-0.001622761200746,0.000214665971108,-7.55947108137805,6.68167992409422E-06,0.811990937524635
