"","point","mean","low","high","time"
"1","model predict (95% CI)",104.346156755153,85.1055447640909,126.779986056246,1993
"2","model predict (95% CI)",46.1465087170557,33.8313161108135,60.3926033804499,1994
"3","model predict (95% CI)",170.93961987208,147.358997700557,196.148054270045,1995
"4","model predict (95% CI)",52.3931524602302,39.0920430281846,67.6533366243261,1996
"5","model predict (95% CI)",52.8667851740552,40.3810660649475,66.6180202646582,1997
"6","model predict (95% CI)",25.4420804007185,16.6957273813239,36.5285986604738,1998
"7","model predict (95% CI)",19.5366092545428,12.0195305367376,27.9241891994366,1999
"8","model predict (95% CI)",19.6004464391571,12.7428009498108,28.246201305313,2000
"9","model predict (95% CI)",17.0674849363935,10.8702123631444,25.0406509059486,2001
"10","model predict (95% CI)",30.2949275156765,20.9684879170275,42.0718139906991,2002
"11","model predict (95% CI)",26.2054600840012,17.4353659148998,36.0128189341808,2003
"12","model predict (95% CI)",21.6880940004847,14.2197639766928,30.487962640237,2004
"13","model predict (95% CI)",30.8201069715133,21.9792374538323,42.0680109689225,2005
"14","model predict (95% CI)",26.6065192962461,18.6966898453441,37.2450663090325,2006
"X1993","data",103,103,103,1993
"X1994","data",45,45,45,1994
"X1995","data",173,173,173,1995
"X1996","data",53,53,53,1996
"X1997","data",53,53,53,1997
"X1998","data",24,24,24,1998
"X1999","data",20,20,20,1999
"X2000","data",19,19,19,2000
"X2001","data",16,16,16,2001
"X2002","data",29,29,29,2002
"X2003","data",26,26,26,2003
"X2004","data",19,19,19,2004
"X2005","data",29,29,29,2005
"X2006","data",26,26,26,2006
