"","Estimate","Std..Error","t.value","Pr...t..","adjRsqr"
"init",-2.22817856169226e-05,7.38206710140292e-05,-0.301836671366589,0.767943650896966,-0.0751705154773337
"X",0.000209307619475931,0.000167759034298417,1.24766824243639,0.235951377850915,0.0410628712680773
"X.1",-6.49383910573156e-06,6.69863892581144e-05,-0.0969426651839564,0.924372221016861,-0.0824855775067022
"X.2",-0.000151249098322211,0.000101932022577164,-1.48382318429632,0.16364043769571,0.0846186441466857
"X.3",2.75598020940066e-05,7.11767784864128e-05,0.387202156097408,0.705386111723488,-0.0699654075768452
"X.4",-0.000461057593181567,0.000120112214502263,-3.83855709506448,0.00235863539981887,0.513737305856856
"X.5",-0.0001496312149186,4.90529827659037e-05,-3.05039992435704,0.0100772239030946,0.389812870444096
"X.6",-7.50147022221619e-05,4.52443787145521e-05,-1.65798944207924,0.123210226839382,0.118580067151083
"X.7",-0.000572520384212048,0.000142316450281041,-4.0228686359269,0.00169072104324286,0.538736747146108
"X.8",0.000116372906690689,7.33289387133595e-05,1.5869983765289,0.138498349632753,0.104594632299539
"X.9",0.000172220504993844,7.44129681351734e-05,2.31438832920896,0.0391635572377037,0.25099646300051
