"","point","mean","low","high","time"
"1","model predict (95% CI)",91.6392722906318,23.9478444351786,300.816005218626,1993
"2","model predict (95% CI)",112.922766457713,33.3903403944958,325.654223803154,1994
"3","model predict (95% CI)",62.4289693199828,21.0436177756111,156.776157831248,1995
"4","model predict (95% CI)",28.2578286524852,9.21467616622007,69.2776303860791,1996
"5","model predict (95% CI)",47.8610460263556,15.3523619870446,121.104285186121,1997
"6","model predict (95% CI)",29.6708311186031,10.6794232884366,72.9579394661106,1998
"7","model predict (95% CI)",32.6777342676203,11.3991506488286,79.9537047991197,1999
"8","model predict (95% CI)",19.1298372596667,6.82012758109776,46.425553245632,2000
"9","model predict (95% CI)",45.9152237100703,13.4090074950981,118.960388532977,2001
"10","model predict (95% CI)",33.5236806785129,10.4034561814862,82.5224883410195,2002
"11","model predict (95% CI)",29.0318622107911,7.6571787511641,77.6878841511686,2003
"12","model predict (95% CI)",34.6348647915983,9.40597249828595,95.7259509231359,2004
"13","model predict (95% CI)",49.0857902029608,10.4219848476217,168.847689190119,2005
"14","model predict (95% CI)",57.6377517879242,9.75471253533282,211.057745580155,2006
"X1993","data",114,114,114,1993
"X1994","data",30,30,30,1994
"X1995","data",145,145,145,1995
"X1996","data",60,60,60,1996
"X1997","data",63,63,63,1997
"X1998","data",24,24,24,1998
"X1999","data",19,19,19,1999
"X2000","data",16,16,16,2000
"X2001","data",18,18,18,2001
"X2002","data",22,22,22,2002
"X2003","data",28,28,28,2003
"X2004","data",18,18,18,2004
"X2005","data",31,31,31,2005
"X2006","data",35,35,35,2006
