"","point","mean","low","high","time"
"1","model predict (95% CI)",5.37677906412827,0.374810427809787,21.4407667247112,1993
"2","model predict (95% CI)",7.18623684973337,1.11989833968528,22.4393557531077,1994
"3","model predict (95% CI)",1.77781925463776,0.265064265954551,5.65334098765842,1995
"4","model predict (95% CI)",1.31372477167149,0.279617810385177,3.63904069610845,1996
"5","model predict (95% CI)",0.635026101406834,0.163734617011565,1.84316793836376,1997
"6","model predict (95% CI)",0.332654160775867,0.083854014791948,0.907052084258876,1998
"7","model predict (95% CI)",0.200225030005041,0.0487301074522177,0.566622505027743,1999
"8","model predict (95% CI)",0.12312602794733,0.0249821398286638,0.337575983918583,2000
"9","model predict (95% CI)",0.192982638795587,0.045460911621418,0.482456625490345,2001
"10","model predict (95% CI)",0.179190836904501,0.0390835894350731,0.475613247185913,2002
"11","model predict (95% CI)",0.0827969669144903,0.0134960757251634,0.254062397151087,2003
"12","model predict (95% CI)",0.102849142642103,0.0180225602342618,0.306295755339431,2004
"13","model predict (95% CI)",0.119215798262088,0.0227060531346183,0.334318836750358,2005
"14","model predict (95% CI)",0.24329304441936,0.0531189628904343,0.636604026563601,2006
"X1993","data",6,6,6,1993
"X1994","data",2,2,2,1994
"X1995","data",5,5,5,1995
"X1996","data",5,5,5,1996
"X1997","data",1,1,1,1997
"X1998","data",0,0,0,1998
"X1999","data",1,1,1,1999
"X2000","data",0,0,0,2000
"X2001","data",1,1,1,2001
"X2002","data",1,1,1,2002
"X2003","data",0,0,0,2003
"X2004","data",0,0,0,2004
"X2005","data",5,5,5,2005
"X2006","data",1,1,1,2006
