"","point","mean","low","high","time"
"1","model predict (95% CI)",73.0099362400138,12.9194922025914,221.975631191946,1993
"2","model predict (95% CI)",30.0929754063134,6.52293557731632,83.7376353260835,1994
"3","model predict (95% CI)",61.3789712745984,11.245570213927,171.048817572003,1995
"4","model predict (95% CI)",40.423055961659,11.1409479889721,94.0770128586611,1996
"5","model predict (95% CI)",38.7540721153142,10.6933246327441,90.7313396253708,1997
"6","model predict (95% CI)",9.25687352605722,1.68911955327099,23.3565395002322,1998
"7","model predict (95% CI)",24.5647742644431,6.08480134983329,59.72806900253,1999
"8","model predict (95% CI)",8.19903454613865,1.38032913637929,21.1406084073548,2000
"9","model predict (95% CI)",12.3269075179626,3.64772601439769,31.7586041474223,2001
"10","model predict (95% CI)",10.4333509765655,1.90405521117802,26.660453042166,2002
"11","model predict (95% CI)",17.3379211083678,5.13151451744439,41.8930669395481,2003
"12","model predict (95% CI)",7.10541464489398,1.47103460712677,17.6914225960934,2004
"13","model predict (95% CI)",11.2286533459597,2.0793695458949,29.9484611007894,2005
"14","model predict (95% CI)",7.19426942118499,0.596637468019064,22.3276184496546,2006
"X1993","data",106,106,106,1993
"X1994","data",23,23,23,1994
"X1995","data",120,120,120,1995
"X1996","data",27,27,27,1996
"X1997","data",19,19,19,1997
"X1998","data",4,4,4,1998
"X1999","data",10,10,10,1999
"X2000","data",12,12,12,2000
"X2001","data",9,9,9,2001
"X2002","data",16,16,16,2002
"X2003","data",20,20,20,2003
"X2004","data",8,8,8,2004
"X2005","data",8,8,8,2005
"X2006","data",3,3,3,2006
