"group","year","mean","CI_low","CI_high"
"fawn",1992,191.928141320869,122.884446093102,327.770718890723
"fawn",1993,287.349865133727,144.305687091206,491.562761646367
"fawn",1994,322.549853321482,203.52956003302,490.174749159283
"fawn",1995,184.230263841423,123.299611945204,292.119705832334
"fawn",1996,164.950306307278,109.76932073182,249.831374867765
"fawn",1997,138.978894813456,97.7565868426281,197.195169800258
"fawn",1998,112.600849157354,78.8154121468181,160.52356170255
"fawn",1999,130.586119761337,99.210230030316,176.009840595625
"fawn",2000,110.324131288021,77.083310075183,154.249226972333
"fawn",2001,147.165254134878,113.511776472585,195.249182662484
"fawn",2002,163.253129507141,127.676504063773,213.208302879515
"fawn",2003,137.816858444998,98.9068781626707,189.912733651413
"fawn",2004,167.121481277025,130.469020009235,215.776290069991
"fawn",2005,159.104223905076,120.494083424953,210.224007759111
"fawn",2006,151.5924622928,114.239832355732,201.804949651052
"fawn",2007,119.630864642334,85.670932617754,157.746362899084
"fawn",2008,113.307511521374,74.5740507043329,157.749785482593
"female",1992,655.704537222495,446.946790703931,944.229970304759
"female",1993,502.580226057352,317.793399729664,778.842295837535
"female",1994,395.609021113258,283.318761526779,580.574145720236
"female",1995,183.73819732491,141.666791935594,246.353091691225
"female",1996,133.041536922351,101.078550140891,175.207931823472
"female",1997,83.0472495816609,61.9618970136492,112.026333802513
"female",1998,81.3469635611372,62.8161337069427,106.303413419491
"female",1999,79.2223947358923,62.1789813379295,100.949998669558
"female",2000,91.7303910439709,72.3230567825289,117.169950933889
"female",2001,100.578679664567,81.7847776621337,126.092231045994
"female",2002,101.797974265358,81.9851550000538,126.072413094945
"female",2003,103.920059451462,82.449984603955,132.284813347439
"female",2004,106.382686245963,81.9594377572067,139.486679953807
"female",2005,100.735882736872,74.3060405821816,132.609843090287
"female",2006,72.6311375958162,50.1949582419301,100.088308523408
"female",2007,61.0898795444945,40.0677950792696,87.5168189827582
"female",2008,26.5567678160814,6.93709739875729,53.837405295291
"male",1992,201.055916408167,101.736418079597,384.359850942247
"male",1993,166.972030801708,86.4043975672413,321.178551416967
"male",1994,158.377545344579,97.5679578392598,274.866337524698
"male",1995,99.0449056802073,49.2675096829585,188.620141745819
"male",1996,69.1688615818498,36.0199454240333,131.240498392308
"male",1997,30.8266364307946,10.4136174396609,67.6062399259731
"male",1998,50.2668164100881,26.8828723036906,87.2750339221895
"male",1999,27.052498579683,10.2304145732176,57.8849103872471
"male",2000,38.580095232114,16.9991168488776,68.7727243927292
"male",2001,45.0197501657403,25.9400296188809,72.2945745826906
"male",2002,53.1009354700344,32.8427069004616,83.1603811988179
"male",2003,48.7355023673797,27.3894080002425,81.9138049687692
"male",2004,44.1622098088357,24.4425430896473,76.2337257938819
"male",2005,31.2410271761197,14.5399420721399,58.7698805927927
"male",2006,30.3323953913617,13.489579815642,60.107693758942
"male",2007,43.1646521894604,23.1575388948934,74.5067773180876
"male",2008,33.4005158089201,7.63160232962158,72.0633334548616
