"","point","mean","low","high","time"
"1","model predict (95% CI)",48.9476923459051,37.3014198713948,63.4480672001781,1993
"2","model predict (95% CI)",12.1403914135083,7.6733575214551,17.6291683026379,1994
"3","model predict (95% CI)",48.3320900728221,38.5586847999262,59.6034291094262,1995
"4","model predict (95% CI)",14.8467588355951,8.06316214682534,21.9437938207902,1996
"5","model predict (95% CI)",10.0713015185958,6.65124103934906,13.9990305667701,1997
"6","model predict (95% CI)",5.7585230014483,3.54363815442131,8.48649115492313,1998
"7","model predict (95% CI)",4.23390055668273,2.05434900793619,6.68153682142207,1999
"8","model predict (95% CI)",4.80440983213273,2.72913618518338,7.35202569837401,2000
"9","model predict (95% CI)",4.15314303905972,2.38619261459871,6.33554891635773,2001
"10","model predict (95% CI)",6.50892804537743,3.66666740847201,9.98211905328141,2002
"11","model predict (95% CI)",7.74068471954379,4.72415963712621,11.7894069541519,2003
"12","model predict (95% CI)",4.72779317668483,2.37594437240922,7.67588495278854,2004
"13","model predict (95% CI)",10.2737941213417,6.43596006192997,14.6267773325496,2005
"14","model predict (95% CI)",3.97907730848215,1.40608330009154,7.24278261140535,2006
"X1993","data",53,53,53,1993
"X1994","data",15,15,15,1994
"X1995","data",65,65,65,1995
"X1996","data",14,14,14,1996
"X1997","data",10,10,10,1997
"X1998","data",10,10,10,1998
"X1999","data",6,6,6,1999
"X2000","data",3,3,3,2000
"X2001","data",5,5,5,2001
"X2002","data",6,6,6,2002
"X2003","data",8,8,8,2003
"X2004","data",5,5,5,2004
"X2005","data",7,7,7,2005
"X2006","data",3,3,3,2006
