"","Estimate","Std..Error","t.value","Pr...t..","adjRsqr"
"init",-3.62382053162191e-05,7.43132381491588e-05,-0.487641316927721,0.634591347095595,-0.0622829525209589
"X",0.000205425845598195,0.000168064802248672,1.22230141498779,0.245059381991623,0.0366103445568507
"X.1",-1.43093945966156e-05,6.34609728530927e-05,-0.225483379048423,0.82539768364988,-0.0787627276474059
"X.2",-0.000159528925677928,9.97558386669085e-05,-1.59919386985062,0.135759851922443,0.106984680170888
"X.3",2.68369242979154e-05,7.667293628868e-05,0.350018214991429,0.732391604469203,-0.0723849310131222
"X.4",-0.000476568885282039,0.000114818851674047,-4.15061532434538,0.00134510990797181,0.555215049040266
"X.5",-0.00015548618387726,5.37478568274046e-05,-2.89288155947424,0.0135036698270657,0.361767843128506
"X.6",-8.18413393270829e-05,4.20521803530433e-05,-1.94618539728487,0.0754273800522776,0.176570913972468
"X.7",-0.000560153853793451,0.000146024347321639,-3.83603052550979,0.00236947880997184,0.513384366602111
"X.8",9.90869678116374e-05,7.3156320231081e-05,1.35445532933653,0.200545541986971,0.0603235584145644
"X.9",0.000182705401377297,7.41670270447289e-05,2.46343164418753,0.0298503636563746,0.280515634256242
