"","Estimate","Std..Error","t.value","Pr...t..","adjRsqr"
"init",-7.76872956046337e-05,1.57297616448066e-05,-4.9388730331005,0.000342735610082324,0.642783215048458
"X",-0.00104257981701294,0.000144570482506466,-7.21156766538639,1.06956765312402e-05,0.796896288418499
"X.1",-0.000726533961661275,9.79790618741507e-05,-7.41519614256435,8.1065784645071e-06,0.805927087755499
"X.2",-0.000561147091052478,8.81681291881764e-05,-6.36451171437274,3.58618911067714e-05,0.752414007998859
"X.3",-0.000420448631640431,8.43920306638367e-05,-4.98208928417929,0.000318735222009338,0.64694265298593
"X.4",-0.000356217360528517,8.31699312330988e-05,-4.28300655353619,0.00106334379459208,0.571581274046937
"X.5",-0.000284419510055934,8.16522821106726e-05,-3.48330141796194,0.00451878580680486,0.461327204199556
"X.6",-0.000273444244866561,9.3037237880128e-05,-2.93908386681551,0.0123930504102046,0.370100532196867
